Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,Income share held by lowest 20%,SI.DST.FRST.20,..,..,7.1,..,6.9,..,6.7,..,6.6,..,6.8,..
Viet Nam,VNM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.213,72.462,73.855,73.876,73.938,73.963,73.976,74.093,75.378,73.618,74.58,..
Viet Nam,VNM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.596,2.072,1.95,1.951,1.938,1.93,1.937,1.948,1.955,1.944,1.941,..
Viet Nam,VNM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,43.715,27.968,36.25,35.761,34.813,34.291,34.514,34.703,34.709,34.6,34.992,..
Viet Nam,VNM,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,74.2,75.7,75.7,77.6,..,76.4,76.5,..,72.8,..,..
Viet Nam,VNM,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,58.8,93.8,..,..,..,..,..,..,96.1,..,..
Viet Nam,VNM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,51.6,30,22.1,21.9,21.7,21.5,21.3,21.1,20.9,20.6,20.3,..
Viet Nam,VNM,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,26.6,14.5,14.1,13.8,13.4,12.8,12.2,11.6,..,..,..
Viet Nam,VNM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,88,97,97,97,99,97,97,95,97,89,88,..
Viet Nam,VNM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,101.050872802734,99.0810852050781,97.2136001586914,100.922218322754,..,109.570877075195,..,..,..,115.85425567627,..
Viet Nam,VNM,"School enrollment, primary (% gross)",SE.PRM.ENRR,101.230926513672,112.737327575684,105.519124969557,106.820761905382,110.223773811456,109.942229864654,112.219369315312,117.423350297811,119.024053535975,120.023386080797,123.133723768475,122.494151916259
Viet Nam,VNM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,35.3092803955078,..,..,88.1982830183815,88.6387881692606,88.9568529473604,90.6353109471527,93.1537784411482,93.7899476841572,96.0667428497231,97.2494761123623,..
Viet Nam,VNM,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Viet Nam,VNM,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,..
Viet Nam,VNM,Forest area (sq. km),AG.LND.FRST.K2,93759.6,117841,139271,140618.6,143776.8,144153.9,144912.9,145671.9,146430.9,147189.9,..,..
Viet Nam,VNM,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,2.92944743522906,2.92950692092655,2.92950692092655,2.92950655111637,2.92950655111637,2.92950655009295,2.92950655009295,..
Viet Nam,VNM,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,14.3336486561683,19.9805241778421,22.7761393355962,22.7761393355962,22.7761393355962,22.7761393355962,22.7761393355962,22.7761393355962,22.7761393355962,22.7761393355962,..,..
Viet Nam,VNM,Urban population growth (annual %),SP.URB.GROW,4.00840796128102,3.42860197272881,3.15972531846692,3.11634097364234,3.06143512628087,2.98533941955856,2.91794712714328,2.85915028568362,2.83151425856978,2.73303127667175,2.59378902775746,2.5072348013974
Viet Nam,VNM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,267.005609241415,363.742197549499,..,..,..,..,..,..,..,..,..,..
Viet Nam,VNM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,96.7829488290945,289.919859639497,1431.16434146075,..,..,..,..,..,..,..,..,..
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,6471740805.56984,31172518403.3162,233451469642.519,239258328381.741,257096001177.982,281353605986.903,310106478394.659,334365270496.667,346615738537.796,366474752771.009,410324028883.325,429716969049.593
Viet Nam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.10091813908369,6.78731640463151,6.42224312118567,6.98715430598611,6.69000892660424,6.94019037359206,7.46500685572751,7.35926270105006,2.86541320912272,2.55372852648131,8.12351446767343,5.04643073618749
Viet Nam,VNM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,42.0950981322183,3.40882766527606,3.69813796808818,-1.71651170749655,1.81953592779914,4.36292014766431,3.62664730027259,2.42322694229267,1.46747814810814,2.88076792900642,4.05124231712631,1.90623130184002
Viet Nam,VNM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,38.73674174711,24.5345819955349,14.8803489262722,14.4747261789547,13.8182553730866,12.9298794852362,12.3066684310428,11.7845285540387,12.6554035685556,12.6030995600152,11.9555291961435,11.9604858170749
Viet Nam,VNM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,22.6742938863068,36.7307753268455,35.2985684880333,34.2665466382117,34.1152288612372,35.3903640729728,36.5424334086447,36.8031368977554,36.7437132938801,37.3915192168564,38.1753762222688,37.1200966918183
Viet Nam,VNM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,36.0386136391372,53.9214970089166,69.5985750693016,72.9228516057117,74.1072855078048,81.7625221215025,84.4234560193748,85.1575871009316,84.3815980216553,93.8502071216558,93.8116384550336,..
Viet Nam,VNM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,45.2770843017519,57.4955974105958,65.8119455291808,71.9913762727334,71.3022216366596,79.2175613784928,80.2404807345622,79.5466274303869,78.8642647547434,92.8256256783819,89.9779027021904,..
Viet Nam,VNM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..,29.6099138223826,30.289026826743,32.1089158891657,31.724539006891,32.3053008485806,32.0195029274278,31.979960650536,31.9156883592155,32.8956023154871,32.56809515011,..
Viet Nam,VNM,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Viet Nam,VNM,Time required to start a business (days),IC.REG.DURS,..,..,34,20,24,22,17,16,..,..,..,..
Viet Nam,VNM,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Viet Nam,VNM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Viet Nam,VNM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,7.91085687045644,..,2.2855076468007,2.3611556974687,2.44296075294715,2.26796977611754,2.28456986005062,..,..,..,..,..
Viet Nam,VNM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0.99816152,149.2271298,130.5154869,129.5014832,127.6319162,148.1748225,142.2374996,143.7522156,138.8654955,139.9496874,..
Viet Nam,VNM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,32.0548541969813,36.3683124110998,38.0557464577142,41.7380671214965,40.7501210752253,40.4333960971534,41.7400773584839,41.5396079539856,38.6328070879073,..
Viet Nam,VNM,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,79.6694452837564,96.6267775041096,127.677928289089,136.954480212362,136.674626750318,152.097926201777,154.966449745823,154.819009531422,157.329843791999,182.395375109965,178.014434589132,158.140834303793
Viet Nam,VNM,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,..,76.0733685861,97.8900321679,100,103.8457475003,104.2102250508,102.5841634157,105.0521391387,104.2807071029,101.6808562936,..,..
Viet Nam,VNM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,23270062150.1,12841178044.2,74733824699.1,81824874001.8,90484088511.7,109893164470.1,112621985456.9,122495972199.3,129479293930.5,139852972474.2,146627006160,..
Viet Nam,VNM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,7.47182515130713,4.23766383028915,3.9300306044361,4.06868318587895,6.28582677474731,7.26567450189829,6.0937874484832,5.86721397058874,6.06883274719444,6.78251630629325,..
Viet Nam,VNM,Net migration,SM.POP.NETM,-10252,-150955,-4875,-4761,-4432,-3847,-3080,-4028,-2016,-992,-82700,-82700
Viet Nam,VNM,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,..,1340000000,9794000000,8050696859.49578,8556092341.35791,9405606824.78479,10191360839.2569,10885224766.1177,10714571746.2681,12722088864.3884,13200000000,14000000000
Viet Nam,VNM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,180000000,1298000000,9200000000,11800000000,12600000000,14100000000,15500000000,16120000000,15800000000,15660000000,17900000000,18500000000
Viet Nam,VNM,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,180550003.051758,1485270019.53125,4215620117.1875,3167389892.57813,2906070068.35938,2407489990.23438,1644829956.05469,1088040039.0625,1171109985.35156,526520019.53125,48919998.1689453,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,10694796,19542982,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,42239854
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,0.202433955671883,1.4438030241194,3.65757606530364,3.12134122890873,2.58154939895659,2.86649214750073,2.88520797304849,2.90852909268743,3.13474690779163,2.85135765449931,2.53449831666733,2.66562820222961
Afghanistan,AFG,Surface area (sq. km),AG.SRF.TOTL.K2,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,..,..
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,16.3972770341751,29.963328887049,50.160541526762,51.7509145546816,53.1042837649295,54.6485411587937,56.2482314520951,57.9082516903546,59.7522806371985,61.4805544056544,..,..
Afghanistan,AFG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,54.5,..,..,..,..,..,..,..
Afghanistan,AFG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,..,..,21036150317.7626,20114103580.5321,19449602244.5449,19032212583.775,19092091282.3498,19698775580.2624,19236860322.2919,15387504467.756,14891705444.2429,..
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,640,600,560,530,520,520,490,380,360,..
Afghanistan,AFG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,15864189723.0093,73169249312.8305,77739868999.5339,77790300893.8725,84288052074.0782,90563706789.4257,99263716985.9417,100842500976.582,86285361406.7876,86333168214.824,..
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,810,2240,2300,2250,2360,2470,2630,2590,2150,2100,..
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.967,55.298,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982,62.879,..
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.565,7.534,5.56,5.405,5.262,5.129,5.002,4.87,4.75,4.643,4.523,..
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,142.96,152.572,101.454,97.415,94.018,90.342,88.431,86.803,84.296,82.565,79.735,..
Afghanistan,AFG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,5.3,..,22.5,22.5,..,..,..,..,..,..,..
Afghanistan,AFG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,12.4,45.2,50.5,..,53.4,58.8,..,61.8,..,..,..
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,181.1,131.6,75.3,72.7,70.2,67.9,65.8,63.6,61.6,59.6,57.7,..
Afghanistan,AFG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,19.1,..,..,..,18.4,..
Afghanistan,AFG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,20,27,60,62,64,67,71,64,66,63,68,..
Afghanistan,AFG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,82.9104614257812,87.2533264160156,88.7355194091797,86.1755218505859,..,..,..,..
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,34.5772399902344,22.1629905700684,109.115516662598,106.182418823242,106.150283813477,106.129997253418,107.780532836914,110.007507324219,..,..,..,..
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,12.3093795776367,..,54.235481262207,53.2851409912109,53.5063400268555,55.4021492004395,57.0392990112305,..,..,..,..,..
Afghanistan,AFG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,0.654020011425018,0.6423299908638,0.645669996738434,0.641690015792847,0.636020004749298,..,..,..,..,..
Afghanistan,AFG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,..
Afghanistan,AFG,Forest area (sq. km),AG.LND.FRST.K2,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,..,..
Afghanistan,AFG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,0.104707040342723,0.104707034792812,0.104707034792812,0.104707034772672,3.6372565953286,3.6372565953286,3.6372565953286,..
Afghanistan,AFG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,52.0070953435843,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,..,..
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,0.623574329460614,1.86137729962901,4.53176850303214,3.99600796676125,3.45264290630202,3.7815566165204,3.85083283346822,3.9192869845162,4.18535706165902,3.95185728902399,3.67564741322498,3.8496026213416
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,..,3521418059.92345,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14266499429.8746,14502158192.0904,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,2.72454336219565,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,..
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,0.56694454253261,2.44756300147404,-2.19752646733461,2.40365618765746,2.07134857783487,6.52147984832531,6.9629462552564,2.83899625081041,9.40623933931322,..
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,22.1370413719574,20.6343227166798,25.7403140364582,26.4201990834448,22.0428967527575,25.7739707394105,29.9755825210461,33.5976188725451,33.7014323213923,..
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..,..,21.2296632181805,22.1240424906926,10.4668076938201,10.0518739969063,13.3872469597976,14.0581123697768,12.9525996015547,14.2736570191788,16.0503677223963,..
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,10.4208171386207,14.342152797537,18.3800424016375,..
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..,..,..,..,36.2890774127896,37.06956357719,54.5054272070161,..
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..,..,..,..,..,..,..,..,11.5,13,16.7,..
Afghanistan,AFG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,8.45633230803733,9.96318450253149,12.678009904576,13.0392622227544,..,..,..,..,..,..
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,..,..,8.5,8.5,8.5,8.5,8.5,8.5,..,..,..,..
Afghanistan,AFG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,6.87847277484129,7.57940762020261,9.50265278288094,9.89845089688421,..,..,..,..,..,..
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,1.29801287790022,0.994575822723645,0.956772140958855,0.945226799939516,1.00674585570556,1.17096838242129,1.35885692738929,1.827933856217,..,..
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,56.26314295,58.39109599,62.37109623,67.13641492,59.90264778,59.78387904,58.1902139,56.55443457,..,..
Afghanistan,AFG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..,..,0,0,..,..,..,..
Afghanistan,AFG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,..,37.2861153562819,40.4885980855756,43.3464195931026,39.3562305524053,41.5283443929765,45.8754658013193,40.6448180105462,36.6557727324253,43.1640573798007,43.7727951654965,..
Afghanistan,AFG,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,..,61.2210574436,93.2366418809,100,106.3025336899,108.4152517508,105.630245851,111.9034263703,118.1456362586,106.0297770432,..,..
Afghanistan,AFG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,2529865267.8,2596917266.2,2596050086.4,2751986638.9,2678760424.2,2661685956.5,3040072312.4,3555784339.6,3393247241.7,..
Afghanistan,AFG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,1.93817780133484,3.29960835203606,4.333403208221,4.35357201508207,3.32380000211032,2.97423809266455,2.67397501265809,..,..,..
Afghanistan,AFG,Net migration,SM.POP.NETM,-666001,-1007135,255611,-281739,-90238,-47090,-47205,-8082,166821,-183672,-65846,-65846
Afghanistan,AFG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,..,..,253367821.603343,348624717.302647,627710802.377386,822731630.245558,803546453.786557,828571904.111179,788917115.24523,320000000,320000000,320000000
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10,170000,42975262.5,169146608,93591315.3,51533896.765,119435105.715177,23404553.647249,12970147.9832,20600980,..,..
Afghanistan,AFG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,122720001.220703,136009994.506836,4942970214.84375,4274229980.46875,4069409912.10938,3811739990.23438,3792489990.23438,4136990234.375,4208899902.34375,4690520019.53125,3893270019.53125,..
Albania,ALB,"Population, total",SP.POP.TOTL,3286542,3089027,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972
Albania,ALB,Population growth (annual %),SP.POP.GROW,1.79908559333186,-0.637356833943492,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,-0.426007367032238,-0.574206959244013,-0.926918061639398,-1.21579032012532,-1.14841763771287
Albania,ALB,Surface area (sq. km),AG.SRF.TOTL.K2,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,..,..
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,119.946788321168,112.738211678832,105.441751824818,105.135145985401,104.967189781022,104.870693430657,104.612262773723,104.167554744526,103.571131386861,102.615547445255,..,..
Albania,ALB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,23.7,23.4,23,21.8,22,..,..,..
Albania,ALB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,1,0.1,0.1,0.4,0,0,0,..,..,..
Albania,ALB,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2144674610.30862,3406993378.95541,13115548996.5957,12635760849.2255,12420735753.6914,12329821974.2681,13932831359.0419,14933195208.448,14946210782.2386,17145585256.2806,18815089737.6346,20773695503.2538
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,650,1100,4540,4390,4320,4290,4860,5230,5270,6100,6770,7570
Albania,ALB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8371737598.25643,12286344006.8231,32825051619.8441,33981401261.2125,35302726459.8297,36782961160.9397,38641123830.7587,41175886638.3638,40292463124.0392,45086289512.0665,53151651063.5617,57976724227.2406
Albania,ALB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2550,3980,11360,11800,12270,12800,13480,14430,14200,16040,19140,21110
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,..,..,7,7.7,7.3,7.6,7.9,8.5,8.4,..,..,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.144,75.404,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463,76.833,..
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.9,2.231,1.674,1.613,1.551,1.491,1.44,1.414,1.4,1.39,1.376,..
Albania,ALB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,14.815,14.792,20.942,20.276,18.171,16.585,15.58,15.013,14.672,14.517,14.46,..
Albania,ALB,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,57.5,..,..,..,..,46,..,..,..,..,..
Albania,ALB,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,93,99.1,..,..,..,..,99.8,..,..,..,..,..
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,40.7,27.1,9.9,9.6,9.4,9.3,9.3,9.4,9.4,9.5,9.4,..
Albania,ALB,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,1.5,..,..,..,..,..,..
Albania,ALB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,88,95,98,97,96,96,94,95,91,87,86,..
Albania,ALB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,105.693672180176,98.7887878417969,99.5973587036133,106.449691772461,102.894180297852,98.717529296875,99.2719268798828,97.2184371948242,101.176277160645,95.1351470947266
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,99.3725967407227,..,105.770576477051,105.688652038574,105.324783325195,105.414970397949,104.568023681641,102.589538574219,100.020973205566,97.1074981689453,96.3712310791016,93.7138137817383
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,89.9155120849609,..,103.321380615234,102.440727233887,99.1707611083984,97.5743713378906,98.8223876953125,99.0151519775391,95.9294509887695,97.6650314331055,97.3224716186523,96.1368789672852
Albania,ALB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.946529984474182,0.976209998130798,0.976679980754852,0.982420027256012,0.993550002574921,1.00432002544403,1.01730000972748,1.018630027771,1.02399003505707,1.02570998668671,..,..
Albania,ALB,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,..
Albania,ALB,Forest area (sq. km),AG.LND.FRST.K2,7888,7693,7877.64,7891.875,7891.8,7889.025,7889,7889,7889,7889,..,..
Albania,ALB,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,13.1477494617734,13.5256825491485,13.5256825491485,14.1739289636404,14.173928961137,14.175197493317,14.1751972700153,..
Albania,ALB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,4.46096654275093,6.83197026022305,3.99620817843866,3.42007434944238,4.05947955390335,4.05576208178439,3.56133828996283,4.20446096654275,2.92193308550186,2.95910780669145,..,..
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,2.54304254474964,0.742478629285177,1.64611599636276,1.48476433256912,1.54401448032371,1.54128496391169,1.31716210445698,1.07141354924368,0.85761092300088,0.443404480033808,0.0937160630163749,0.103888261229259
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,813.255695500012,580.494764208924,808.455839595944,..,..,..,..,..,..,..,..,..
Albania,ALB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,552.252184819181,1449.64741324695,2309.36650255581,..,..,..,..,..,..,..,..,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2028553750,3480355258.04122,13228147516.1168,11386853113.0189,11861199830.8396,13019726211.7369,15156424015.1977,15401826127.2539,15162734205.2462,17930565118.8176,18916378860.5488,22977677860.7979
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9.57564016993415,6.94621659244254,1.77444885260394,2.21872637517804,3.31498068384137,3.80259872019053,4.01934561695576,2.08771199649604,-3.30208203862541,8.90852781831182,4.85640165227306,3.43914949919611
